Hero Name,Healer,Tank,RangedDPS,Flex,Offlane,First Pick
Abathur,3,1,1,4,3,0
Alarak,1,1,1,5,1,0
Alexstrasza,7,1,1,1,3,0
Ana,7,1,1,1,1,0
Anduin,10,1,1,1,1,1
Anubarak,1,8,1,1,1,0
Artanis,1,3,1,3,5,0
Arthas,1,4,1,1,1,0
Auriel,6,3,1,3,1,0
Azmodan,1,1,4,1,1,0
Blaze,1,3,1,3,9,1
Brightwing,10,1,1,1,1,1
Cassia,1,1,6,6,1,0
Chen,1,3,1,3,6,0
Cho,0,0,0,0,0,0
Chromie,1,1,5,7,1,0
DVa,1,2,1,3,6,0
Deathwing,1,3,1,3,3,0
Deckard,7,3,1,2,1,0
Dehaka,1,5,1,3,8,1
Diablo,1,9,1,1,1,0
E.T.C.,1,4,1,2,2,0
Falstad,1,1,5,8,4,0
Fenix,1,1,8,2,2,0
Gall,0,0,0,0,0,0
Garrosh,1,8,1,1,5,0
Gazlowe,1,1,1,2,1,0
Genji,1,1,5,7,1,0
Greymane,1,1,7,8,1,0
Guldan,1,1,6,3,4,0
Hanzo,1,1,7,8,1,0
Hogger,1,1,1,5,8,1
Illidan,1,1,1,1,5,0
Imperius,1,6,1,5,4,0
Jaina,1,1,5,5,1,0
Johanna,1,10,1,1,6,1
Junkrat,1,1,8,7,1,1
Kaelthas,1,1,1,3,1,0
KelThuzad,1,1,1,3,1,0
Kerrigan,1,1,1,4,1,0
Kharazim,5,1,1,4,3,0
Leoric,1,2,1,2,8,0
LiLi,3,1,1,1,1,0
Li-Ming,1,1,4,8,1,0
LtMorales,5,1,1,1,1,0
Lucio,10,1,1,1,1,1
Lunara,1,1,6,7,1,0
Maiev,1,6,1,9,3,0
MalGanis,1,4,1,1,1,0
Malfurion,7,1,1,1,1,0
Malthael,1,1,1,7,7,0
Medivh,1,1,1,3,1,0
Mei,1,4,1,1,1,0
Mephisto,1,1,8,2,1,0
Muradin,1,8,1,1,1,0
Murky,1,1,1,1,2,0
Nazeebo,1,1,6,6,1,0
Nova,1,1,1,3,1,0
Orphea,1,1,7,4,4,0
Probius,1,1,2,2,1,0
Qhira,1,1,1,4,4,0
Ragnaros,1,1,1,2,4,0
Raynor,1,1,4,4,4,0
Rehgar,9,1,1,3,4,0
Rexxar,1,1,1,4,7,0
Samuro,1,1,1,2,6,0
SgtHammer,1,1,6,3,3,0
Sonya,1,4,1,6,7,0
Stitches,1,7,1,1,4,0
Stukov,8,4,1,3,1,0
Sylvanas,1,1,10,5,1,1
Tassadar,1,1,4,5,1,0
TheButcher,1,1,1,3,3,0
TheLostVikings,1,1,1,1,5,0
Thrall,1,5,1,8,2,0
Tracer,1,1,3,6,1,0
Tychus,1,1,7,7,1,0
Tyrael,1,6,1,6,1,0
Tyrande,7,1,1,4,1,0
Uther,7,6,1,1,1,0
Valeera,1,1,1,2,1,0
Valla,1,1,7,2,1,0
Varian,1,7,1,4,3,0
Whitemane,7,1,1,1,1,0
Xul,1,1,1,6,6,0
Yrel,0,3,1,2,6,0
Zagara,1,1,6,6,1,0
Zarya,1,1,1,5,1,0
Zeratul,1,1,1,5,5,0
ZulJin,1,1,6,5,1,0
DEFAULT,0,0,0,0,0,0
